Noun Chunk,count
the loan,58
the process,54
a loan,44
a personal loan,39
my account,37
my application,35
my loan,34
the application,33
customer service,32
this company,25
my credit score,20
the funds,18
the application process,18
a call,15
my credit,14
the money,14
the phone,13
a lot,13
your credit,13
the rates,13
this loan,13
your time,12
an email,12
credit karma,12
my income,12
the documents,11
my credit report,11
a week,11
the time,11
my debt,10
the ceo,10
the way,10
the company,9
my bank,9
the end,9
the entire process,9
the fact,8
these guys,8
my bank account,8
good credit,8
my house,7
my documents,7
my credit cards,7
lending club,7
your loan,7
a reason,7
the reason,7
another company,7
personal loans,7
a parent,7
the interest rate,7
a few days,6
the rate,6
a chance,6
the amount,6
a couple,6
a payment,6
a company,6
a soft pull,6
the status,6
my student loans,6
my score,6
your application,6
the mail,6
no updates,6
a bank,6
a great rate,5
a shot,5
my request,5
income ratio,5
these people,5
credit card debt,5
the terms,5
interest rate,5
15 minutes,5
a person,5
the only thing,5
the interest rates,5
your credit score,5
great rates,5
their website,5
their customer service,5
any questions,5
the call,5
the rep,5
no sense,5
no way,5
the people,5
my sofi loan,5
tax returns,5
the document,5
my experience,5
easy process,4
the past,4
no issues,4
my rate,4
my identity,4
credit score,4
a great credit score,4
monday morning,4
